,Country Name,Country Code,2017,2018,2019,2020,2021,2022,mean_gdp
23,"Bahamas, The",BHS,12253500000.0,12653600000.0,13058700000.0,9754600000.0,11527600000.0,12897400000.0,12024233333.333334
24,Bosnia and Herzegovina,BIH,18326376394.0796,20484048415.5019,20482603346.4473,20226030731.0131,23649566069.2355,24527507287.7962,21282688707.3456
25,Belarus,BLR,54725311690.0478,60031163987.191,64410112583.362,61371755326.2351,69673747131.87,72793457588.4367,63834258051.19044
26,Belize,BLZ,2286000000.0,2315000000.0,2416500000.0,2080000000.0,2491500000.0,2824081836.19867,2402180306.0331116
27,Bermuda,BMU,7142316000.0,7225977000.0,7423465000.0,6887147000.0,7127200000.0,7550500000.0,7226100833.333333
28,Bolivia,BOL,37508642170.767,40287647930.5355,40895322850.9407,36629843806.0781,40408208523.8784,43068885672.9378,39799758492.52292
29,Brazil,BRA,2063514688761.67,1916933708404.16,1873288159000.64,1476107292036.59,1649622972159.35,1920095560995.06,1816593730226.245
30,Barbados,BRB,4981588900.0,5097283200.0,5324250000.0,4671800000.0,4843800000.0,5637914514.6379,5092772769.106317
31,Brunei Darussalam,BRN,12128182463.596,13567164444.9707,13469240162.5496,12005795914.7306,14006497000.2477,16681531645.7347,13643068605.304884
32,Bhutan,BTN,2450366107.88229,2446867582.27133,2535655609.45889,2325185520.59339,2539551327.48291,,2459525229.537762
33,Botswana,BWA,16105156375.5848,17031943186.1353,16725908661.9419,14960291540.5283,18737066306.9659,20352322157.1467,17318781371.383816
34,Central African Republic,CAF,2072349974.15272,2220979144.52008,2221301350.75537,2326720902.35741,2516498412.31361,2382618615.3562,2290078066.5758986
35,Canada,CAN,1649265644244.09,1725297938435.76,1743725183672.52,1647598402302.68,2001486745423.92,2139840023673.81,1817868989625.4631
36,Central Europe and the Baltics,CEB,1461216063229.79,1648513132166.16,1674114230083.25,1665358949113.72,1905555039662.64,1946330897134.16,1716848051898.2864
37,Switzerland,CHE,695200833086.499,725562534363.895,721369112726.724,739913619797.445,800640155387.26,807706035351.75,748398715118.9288
