"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Botswana","BWA","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","74","","70.1492538452148","","67.6616897583008","","68.1592025756836","68.1592025756836","72.5961532592773","65.8653869628906","62.5","61.538459777832","61.538459777832","58.7677726745605","60.6635055541992","60.0938949584961","64.3192520141602","63.8497657775879","61.0837440490723","61.5763549804688","59.6059112548828","59.1133003234863","61.6504859924316","62.8019332885742","60.8695640563965","59.9033813476563","60.8695640563965",
"Central African Republic","CAF","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","","29.8507461547852","","28.8557205200195","","19.9004974365234","11.9402980804443","10.5769233703613","19.7115383148193","19.7115383148193","16.8269233703613","20.1923084259033","19.9052124023438","15.6398105621338","16.9014091491699","14.5539903640747","7.0422534942627","8.86699485778809","13.7931032180786","19.2118225097656","17.2413787841797","14.5631065368652","14.9758453369141","13.5265703201294","15.4589376449585","15.4589376449585",
"Canada","CAN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99","","98.5074615478516","","96.0198974609375","","97.5124359130859","97.5124359130859","97.1153869628906","93.75","95.6730804443359","95.1923065185547","95.1923065185547","95.2606658935547","93.8388595581055","94.3661956787109","94.3661956787109","95.3051605224609","95.5665054321289","96.0591125488281","96.0591125488281","96.0591125488281","96.6019439697266","96.1352691650391","96.1352691650391","96.1352691650391","95.6521759033203",
"Central Europe and the Baltics","CEB","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92","","93.532341003418","","93.532341003418","","95.0248718261719","95.0248718261719","97.5961532592773","97.1153869628906","98.0769195556641","98.0769195556641","98.0769195556641","99.5260696411133","99.052131652832","98.591552734375","98.1220626831055","98.1220626831055","99.014778137207","98.5221710205078","97.5369491577148","98.0295562744141","99.0291290283203","97.5845413208008","98.5507278442383","98.0676345825195","99.0338134765625",
"Channel Islands","CHI","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69.5","","65.6716384887695","","74.1293563842773","","80.0995025634766","82.0895538330078","88.9423065185547","89.4230804443359","86.0576934814453","85.0961532592773","80.288459777832","79.1469192504883","82.9383850097656","82.6291046142578","83.0985946655273","84.5070419311523","80.7881774902344","79.3103485107422","77.8325119018555","79.8029556274414","81.0679626464844","79.7101440429688","79.7101440429688","78.260871887207","78.260871887207",
"China","CHN","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12","","8.95522403717041","","9.95024871826172","","6.46766185760498","7.46268653869629","8.17307662963867","7.692307472229","5.76923084259033","4.807692527771","5.76923084259033","4.7393364906311","5.21327018737793","5.63380289077759","4.6948356628418","4.6948356628418","5.41871929168701","4.92610836029053","7.38916254043579","7.88177347183228","9.22330093383789","6.7632851600647","4.8309178352356","5.31400966644287","6.28019332885742",
"Cote d'Ivoire","CIV","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","","30.8457717895508","","20.8955230712891","","18.4079608917236","15.4228858947754","14.9038457870483","10.0961542129517","11.057692527771","13.4615383148193","14.9038457870483","16.5876770019531","17.5355453491211","17.8403759002686","25.3521118164063","26.2910804748535","31.0344829559326","33.0049247741699","35.9605903625488","36.9458122253418","37.3786392211914","36.7149772644043","33.3333320617676","33.8164253234863","34.7826080322266",
"Cameroon","CMR","Voice and Accountability: Percentile Rank","VA.PER.RNK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","","16.9154224395752","","16.9154224395752","","16.9154224395752","19.9004974365234","19.7115383148193","17.7884616851807","19.230770111084","19.230770111084","18.269229888916","17.0616111755371","17.0616111755371","19.2488269805908","17.3708915710449","17.8403759002686","21.674877166748","22.660099029541","21.1822662353516","20.1970443725586","17.4757289886475","15.9420289993286","15.4589376449585","17.8743953704834","17.3913040161133",
